,Prompt,Correct Object,GPT-reply,Status
75,Robert Gammage:(September 2012)::Johnny Bach:X; X is January 2015,January 2016,False,True
76,Johnny Bach:(January 2016)::Veatrice Rice:X; X is January 2009,January 2009,True,True
77,Veatrice Rice:(January 2009)::Dalian Atkinson:X; X is June 2012,August 2016,False,True
78,Dalian Atkinson:(August 2016)::He Qun:X; X is December 2016,December 2016,False,False
79,He Qun:(December 2016)::Tony Warren:X; X is March 2016,March 2016,False,False
80,Tony Warren:(March 2016)::B. S. Abdur Rahman:X; X is January 2015,January 2015,True,True
81,B. S. Abdur Rahman:(January 2015)::Zeng Xianyi:X; X is February 2011,January 2011,False,True
82,Zeng Xianyi:(January 2011)::Alavi Moulana:X; X is December 2010,June 2016,False,True
83,Alavi Moulana:(June 2016)::Joe Ryan:X; X is January 2016,November 2016,False,True
84,Joe Ryan:(November 2016)::Ronald B. Cameron:X; X is September 2006,February 2006,False,True
85,Ronald B. Cameron:(February 2006)::Annie Fargue:X; X is February 2016,March 2011,False,True
86,Annie Fargue:(March 2011)::JosÃ© Luiz Pacheco:X; X is July 2012,January 2008,False,True
87,JosÃ© Luiz Pacheco:(January 2008)::Tim Francis:X; X is January 2016,January 2016,False,False
88,Tim Francis:(January 2016)::Witold ZagÃ_rski:X; X is June 2016,June 2016,False,False
89,Witold ZagÃ_rski:(June 2016)::Kinjarapu Yerran Naidu:X; X is August 2011,November 2012,False,True
90,Kinjarapu Yerran Naidu:(November 2012)::Jamaluddin Jarjis:X; X is June 2015,April 2015,True,False
91,Jamaluddin Jarjis:(April 2015)::John Dendahl:X; X is November 2013,November 2013,False,False
92,John Dendahl:(November 2013)::Gene Goodreault:X; X is April 2009,July 2010,False,True
93,Gene Goodreault:(July 2010)::Joseph Mascolo:X; X is December 2016,December 2016,True,True
94,Joseph Mascolo:(December 2016)::Uan Rasey:X; X is December 2016,September 2011,False,True
95,Uan Rasey:(September 2011)::Dave Williams:X; X is July 2013,February 2015,False,True
96,Dave Williams:(February 2015)::Lou Lucier:X; X is October 2014,October 2014,False,False
97,Lou Lucier:(October 2014)::Agneta Bolme BÃ¶rjefors:X; X is August 2008,August 2008,False,False
98,Agneta Bolme BÃ¶rjefors:(August 2008)::Arthur Gietzelt:X; X is January 2014,January 2014,True,True
99,Arthur Gietzelt:(January 2014)::Pedro Reginaldo Lira:X; X is May 2014,December 2012,False,True
100,Pedro Reginaldo Lira:(December 2012)::Louis Pienaar:X; X is June 2011,November 2012,False,True
101,Louis Pienaar:(November 2012)::Larry Scott:X; X is March 2014,March 2014,False,False
102,Larry Scott:(March 2014)::Cornelius Botha:X; X is June 2014,February 2014,True,False
103,Cornelius Botha:(February 2014)::Andrew Quintero:X; X is December 2011,May 2014,False,True
104,Andrew Quintero:(May 2014)::Louis Rosen:X; X is April 2015,August 2009,False,True
105,Louis Rosen:(August 2009)::Sir Fred Phillips:X; X is February 2011,February 2011,False,False
106,Sir Fred Phillips:(February 2011)::Garry Shider:X; X is June 2010,June 2010,True,True
107,Garry Shider:(June 2010)::Johnny Munkhammar:X; X is August 2012,August 2012,True,True
108,Johnny Munkhammar:(August 2012)::Scotty Robertson:X; X is June 2016,August 2011,False,True
109,Scotty Robertson:(August 2011)::Svetozar StojanoviÄ‡:X; X is May 2010,May 2010,False,False
110,Svetozar StojanoviÄ‡:(May 2010)::Mamman Bello Ali:X; X is February 2011,January 2009,False,True
111,Mamman Bello Ali:(January 2009)::Charles Morris:X; X is January 2012,January 2012,False,False
112,Charles Morris:(January 2012)::John Murtha:X; X is April 2014,February 2010,False,True
113,John Murtha:(February 2010)::Frank Upton:X; X is May 2011,May 2011,False,False
114,Frank Upton:(May 2011)::Yitzhak Shamir:X; X is June 2012,June 2012,True,True
115,Yitzhak Shamir:(June 2012)::Ian McLagan:X; X is January 2007,December 2014,False,True
116,Ian McLagan:(December 2014)::William Christopher:X; X is April 2015,December 2016,False,True
117,William Christopher:(December 2016)::Viktor Zinger:X; X is February 2012,September 2013,False,True
118,Viktor Zinger:(September 2013)::John Armitage:X; X is April 2009,April 2009,False,False
119,John Armitage:(April 2009)::Tige Andrews:X; X is January 2007,January 2007,False,False
120,Tige Andrews:(January 2007)::LeRoy Ellis:X; X is May 2012,June 2012,True,False
121,LeRoy Ellis:(June 2012)::Alvin Colt:X; X is May 2008,May 2008,True,True
122,Alvin Colt:(May 2008)::Dave Edwards:X; X is December 2016,December 2016,False,False
123,Dave Edwards:(December 2016)::Derf Scratch:X; X is July 2010,July 2010,True,True
124,Derf Scratch:(July 2010)::Henderson Forsythe:X; X is April 2006,April 2006,True,True
125,Henderson Forsythe:(April 2006)::Gregory Slay:X; X is January 2010,January 2010,True,True
126,Gregory Slay:(January 2010)::Joy Baluch:X; X is August 2006,May 2013,False,True
127,Joy Baluch:(May 2013)::Jean Kent:X; X is February 2016,November 2013,False,True
128,Jean Kent:(November 2013)::Roger Auque:X; X is January 2016,September 2014,False,True
129,Roger Auque:(September 2014)::Michael Gottlieb:X; X is May 2014,May 2014,False,False
130,Michael Gottlieb:(May 2014)::Rocky Bridges:X; X is January 2015,January 2015,False,False
131,Rocky Bridges:(January 2015)::Shelby Grant:X; X is April 2008,June 2011,False,True
132,Shelby Grant:(June 2011)::Oh Se-jong:X; X is June 2016,June 2016,True,True
133,Oh Se-jong:(June 2016)::Trevor Griffin:X; X is August 2010,March 2015,False,True
134,Trevor Griffin:(March 2015)::Stjepan Steiner:X; X is June 2016,January 2006,False,True
135,Stjepan Steiner:(January 2006)::Taylor Mead:X; X is October 2011,May 2013,False,True
136,Taylor Mead:(May 2013)::John Gunnell:X; X is January 2008,January 2008,False,False
137,John Gunnell:(January 2008)::Billy Joe Royal:X; X is January 2015,October 2015,True,False
138,Billy Joe Royal:(October 2015)::Franco Interlenghi:X; X is September 2015,September 2015,True,True
139,Franco Interlenghi:(September 2015)::Alan Coren:X; X is October 2007,October 2007,True,True
140,Alan Coren:(October 2007)::Kinya Aikawa:X; X is April 2015,April 2015,True,True
141,Kinya Aikawa:(April 2015)::Bob Gain:X; X is November 2016,November 2016,False,False
142,Bob Gain:(November 2016)::Alberto Castagnetti:X; X is October 2009,October 2009,True,True
143,Alberto Castagnetti:(October 2009)::Mary Call Darby Collins:X; X is March 2016,November 2009,False,True
144,Mary Call Darby Collins:(November 2009)::Rizalino Navarro:X; X is July 2011,July 2011,True,True
145,Rizalino Navarro:(July 2011)::Sergei Belov:X; X is January 2016,October 2013,False,True
146,Sergei Belov:(October 2013)::Jack Lund Schofield:X; X is April 2013,March 2015,False,True
147,Jack Lund Schofield:(March 2015)::Hobart Alter:X; X is April 2008,March 2014,False,True
148,Hobart Alter:(March 2014)::Radomir Naumov:X; X is May 2015,May 2015,False,False
149,Radomir Naumov:(May 2015)::Roger Newman:X; X is June 2016,March 2010,False,True
150,Roger Newman:(March 2010)::Kjell Albin Abrahamson:X; X is September 2016,September 2016,False,False
151,Kjell Albin Abrahamson:(September 2016)::Anton Yelchin:X; X is July 2008,June 2016,False,True
152,Anton Yelchin:(June 2016)::Izabela Jaruga-Nowacka:X; X is April 2010,April 2010,True,True
153,Izabela Jaruga-Nowacka:(April 2010)::Bill Birchfield:X; X is February 2016,February 2016,False,False
154,Bill Birchfield:(February 2016)::Lil Greenwood:X; X is March 2015,July 2011,False,True
155,Lil Greenwood:(July 2011)::Vyacheslav Nevinny:X; X is May 2009,May 2009,False,False
156,Vyacheslav Nevinny:(May 2009)::Bill Young:X; X is May 2016,October 2013,False,True
157,Bill Young:(October 2013)::Frank Budgen:X; X is December 2015,November 2015,True,False
158,Frank Budgen:(November 2015)::Larry Cassidy:X; X is February 2010,February 2010,True,True
159,Larry Cassidy:(February 2010)::Frances Shea-Buckley:X; X is July 2016,July 2015,False,True
160,Frances Shea-Buckley:(July 2015)::Russell Olson:X; X is October 2010,April 2010,False,True
161,Russell Olson:(April 2010)::Tura Satana:X; X is October 2015,February 2011,False,True
162,Tura Satana:(February 2011)::Eldar Ryazanov:X; X is November 2015,November 2015,True,True
163,Eldar Ryazanov:(November 2015)::William Royer:X; X is July 2016,April 2013,False,True
164,William Royer:(April 2013)::Marat Kalimulin:X; X is January 2015,September 2011,False,True
165,Marat Kalimulin:(September 2011)::Frances Reid:X; X is February 2010,February 2010,True,True
166,Frances Reid:(February 2010)::W. Willard Wirtz:X; X is April 2010,April 2010,True,True
167,W. Willard Wirtz:(April 2010)::C. Odumegwu Ojukwu:X; X is November 2011,November 2011,True,True
168,C. Odumegwu Ojukwu:(November 2011)::Charles Newman (author):X; X is January 2016,March 2006,False,True
169,Charles Newman (author):(March 2006)::Donald J. Irwin:X; X is December 2010,July 2013,False,True
170,Donald J. Irwin:(July 2013)::Erica Andrews:X; X is March 2013,March 2013,True,True
171,Erica Andrews:(March 2013)::Dan Haggerty:X; X is July 2011,January 2016,False,True
172,Dan Haggerty:(January 2016)::Bootsie Calhoun:X; X is February 2014,February 2014,False,False
173,Bootsie Calhoun:(February 2014)::Guy Rousseau:X; X is November 2016,November 2016,False,False
174,Guy Rousseau:(November 2016)::John A. Choi Jae-seon:X; X is July 2010,June 2008,False,True
175,John A. Choi Jae-seon:(June 2008)::Ivan Jensen:X; X is July 2012,January 2009,False,True
176,Ivan Jensen:(January 2009)::Ivica BrziÄ‡:X; X is June 2014,June 2014,False,False
177,Ivica BrziÄ‡:(June 2014)::Corinne Day:X; X is October 2010,August 2010,False,True
178,Corinne Day:(August 2010)::Daryl McClure:X; X is March 2015,March 2015,False,False
179,Daryl McClure:(March 2015)::Dale Memmelaar:X; X is March 2009,March 2009,False,False
180,Dale Memmelaar:(March 2009)::Justo Mullor GarcÃ_a:X; X is February 2008,December 2016,False,True
181,Justo Mullor GarcÃ_a:(December 2016)::Harry Hyams:X; X is March 2007,December 2015,False,True
182,Harry Hyams:(December 2015)::Joe Morrone:X; X is September 2015,September 2015,True,True
183,Joe Morrone:(September 2015)::Jean Gagnon:X; X is December 2016,December 2016,False,False
184,Jean Gagnon:(December 2016)::Zbigniew Jaremski:X; X is January 2011,January 2011,False,False
185,Zbigniew Jaremski:(January 2011)::Lotfi Mansouri:X; X is December 2016,August 2013,False,True
186,Lotfi Mansouri:(August 2013)::Edward Yang:X; X is June 2007,June 2007,True,True
187,Edward Yang:(June 2007)::Steve Stevaert:X; X is April 2015,April 2015,True,True
188,Steve Stevaert:(April 2015)::Bill Schmitz:X; X is August 2013,August 2013,True,True
189,Bill Schmitz:(August 2013)::Michael Baigent:X; X is May 2016,June 2013,False,True
190,Michael Baigent:(June 2013)::Neil Turner:X; X is July 2011,July 2011,False,False
191,Neil Turner:(July 2011)::Ratnasiri Wickremanayake:X; X is December 2012,December 2016,False,True
192,Ratnasiri Wickremanayake:(December 2016)::ThÃ¸ger Birkeland:X; X is April 2011,April 2011,False,False
193,ThÃ¸ger Birkeland:(April 2011)::Michael Ansara:X; X is August 2011,July 2013,False,True
194,Michael Ansara:(July 2013)::Ottmar Schreiner:X; X is March 2014,April 2013,False,True
195,Ottmar Schreiner:(April 2013)::Francesco De Nittis:X; X is August 2006,March 2014,False,True
196,Francesco De Nittis:(March 2014)::Louis Johnson:X; X is May 2015,May 2015,False,False
197,Louis Johnson:(May 2015)::Angioletta Coradini:X; X is June 2014,September 2011,False,True
198,Angioletta Coradini:(September 2011)::Larry Munson:X; X is November 2011,November 2011,True,True
199,Larry Munson:(November 2011)::Rudy Bukich:X; X is July 2016,February 2016,False,True
200,Rudy Bukich:(February 2016)::Charles C. Barham:X; X is October 2006,May 2010,False,True
201,Charles C. Barham:(May 2010)::Ian Moir:X; X is March 2015,March 2015,False,False
202,Ian Moir:(March 2015)::Earle Howard:X; X is February 2013,February 2013,False,False
203,Earle Howard:(February 2013)::^ Laris:X; X is January 2013,March 2012,False,True
204,^ Laris:(March 2012)::Beverlee McKinsey:X; X is May 2008,May 2008,False,False
205,Beverlee McKinsey:(May 2008)::Niall Andrews:X; X is April 2016,October 2006,False,True
206,Niall Andrews:(October 2006)::John Reinhardt:X; X is February 2016,February 2016,False,False
207,John Reinhardt:(February 2016)::Elliot Tiber:X; X is January 2011,August 2016,False,True
208,Elliot Tiber:(August 2016)::Dewayne Bunch:X; X is August 2011,July 2012,True,False
209,Dewayne Bunch:(July 2012)::Don Covay:X; X is August 2014,January 2015,False,True
210,Don Covay:(January 2015)::Frana Cardno:X; X is April 2015,April 2015,False,False
211,Frana Cardno:(April 2015)::Dennis Yost:X; X is February 2010,December 2008,False,True
212,Dennis Yost:(December 2008)::Armen Gilliam:X; X is November 2013,July 2011,False,True
213,Armen Gilliam:(July 2011)::Ng Chiau-tong:X; X is November 2011,November 2011,True,True
214,Ng Chiau-tong:(November 2011)::Riccardo Ruotolo:X; X is August 2012,August 2012,False,False
215,Riccardo Ruotolo:(August 2012)::Wong Choon Wah:X; X is December 2016,January 2014,False,True
216,Wong Choon Wah:(January 2014)::Pamela Bryant:X; X is March 2016,December 2010,False,True
217,Pamela Bryant:(December 2010)::Wolfgang Bartels:X; X is February 2007,February 2007,False,False
218,Wolfgang Bartels:(February 2007)::Jean Constantin:X; X is May 2010,May 2010,False,False
219,Jean Constantin:(May 2010)::Justo Oscar Laguna:X; X is November 2011,November 2011,False,False
220,Justo Oscar Laguna:(November 2011)::Joan Taylor:X; X is November 2014,March 2012,False,True
221,Joan Taylor:(March 2012)::Wilhelmus Demarteau:X; X is December 2012,December 2012,False,False
222,Wilhelmus Demarteau:(December 2012)::William Louis Dickinson:X; X is April 2013,March 2008,False,True
223,William Louis Dickinson:(March 2008)::Imre PolyÃ¡k:X; X is November 2010,November 2010,False,False
224,Imre PolyÃ¡k:(November 2010)::Bruno CÃ´tÃ©:X; X is October 2008,June 2010,False,True
225,Bruno CÃ´tÃ©:(June 2010)::Leonard Fein:X; X is August 2014,August 2014,False,False
226,Leonard Fein:(August 2014)::Haskell Wexler:X; X is September 2014,December 2015,False,True
227,Haskell Wexler:(December 2015)::Stephen Crohn:X; X is December 2013,August 2013,True,False
228,Stephen Crohn:(August 2013)::Gerald W. Thomas:X; X is July 2013,July 2013,False,False
229,Gerald W. Thomas:(July 2013)::JesÃºs RamÃ_n MartÃ_nez de Ezquerecocha Suso:X; X is January 2009,February 2013,False,True
230,JesÃºs RamÃ_n MartÃ_nez de Ezquerecocha Suso:(February 2013)::Shirley Herz:X; X is June 2011,August 2013,False,True
231,Shirley Herz:(August 2013)::George Allen:X; X is July 2016,July 2016,False,False
232,George Allen:(July 2016)::Fran Warren:X; X is March 2013,March 2013,True,True
233,Fran Warren:(March 2013)::Mario Verdial:X; X is July 2008,February 2015,False,True
234,Mario Verdial:(February 2015)::Marc Rocco:X; X is May 2009,May 2009,False,False
235,Marc Rocco:(May 2009)::Ken Kostick:X; X is October 2011,April 2011,True,False
236,Ken Kostick:(April 2011)::Owen Edwards:X; X is August 2010,August 2010,False,False
237,Owen Edwards:(August 2010)::Bert Lance:X; X is August 2013,August 2013,False,False
238,Bert Lance:(August 2013)::Bracha Qafih:X; X is October 2014,November 2013,False,True
239,Bracha Qafih:(November 2013)::Joseph Stein:X; X is October 2010,October 2010,False,False
240,Joseph Stein:(October 2010)::Oswaldo Louzada:X; X is February 2008,February 2008,True,True
241,Oswaldo Louzada:(February 2008)::Flemming JÃ¸rgensen:X; X is January 2011,January 2011,False,False
242,Flemming JÃ¸rgensen:(January 2011)::WisÅ‚awa Szymborska:X; X is February 2012,February 2012,True,True
243,WisÅ‚awa Szymborska:(February 2012)::Vito Taccone:X; X is October 2007,October 2007,True,True
244,Vito Taccone:(October 2007)::BjÃ¶rn von der Esch:X; X is October 2011,March 2010,False,True
245,BjÃ¶rn von der Esch:(March 2010)::Neil Farrington:X; X is July 2010,December 2009,False,True
246,Neil Farrington:(December 2009)::Sue Landske:X; X is April 2011,February 2015,False,True
247,Sue Landske:(February 2015)::Nick Lashaway:X; X is October 2009,May 2016,False,True
248,Nick Lashaway:(May 2016)::Pu Zoduha:X; X is June 2013,June 2013,False,False
249,Pu Zoduha:(June 2013)::Aage MÃ¸st:X; X is February 2010,April 2011,False,True
250,Aage MÃ¸st:(April 2011)::Shlomo Pinto:X; X is June 2011,June 2011,False,False
251,Shlomo Pinto:(June 2011)::IÃ±aki Lejarreta:X; X is December 2012,December 2012,True,True
252,IÃ±aki Lejarreta:(December 2012)::Don Quayle:X; X is April 2015,April 2015,False,False
253,Don Quayle:(April 2015)::Retta Ward:X; X is March 2016,March 2016,False,False
254,Retta Ward:(March 2016)::Harry Mulisch:X; X is October 2010,October 2010,True,True
255,Harry Mulisch:(October 2010)::^ Chayka:X; X is December 2015,February 2012,False,True
256,^ Chayka:(February 2012)::Sandy Kenyon:X; X is February 2010,February 2010,False,False
257,Sandy Kenyon:(February 2010)::Saud bin Faisal bin Abdulaziz Al Saud:X; X is February 2012,July 2015,False,True
258,Saud bin Faisal bin Abdulaziz Al Saud:(July 2015)::James F. Goodrich:X; X is July 2012,July 2012,False,False
259,James F. Goodrich:(July 2012)::Val Logsdon Fitch:X; X is February 2015,February 2015,True,True
260,Val Logsdon Fitch:(February 2015)::ThorbjÃ¸rn Svenssen:X; X is January 2011,January 2011,False,False
261,ThorbjÃ¸rn Svenssen:(January 2011)::Bansi Lal:X; X is July 2014,March 2006,False,True
262,Bansi Lal:(March 2006)::Tommy Cummings:X; X is April 2015,July 2009,False,True
263,Tommy Cummings:(July 2009)::Harold Hofmann:X; X is November 2013,November 2013,True,True
264,Harold Hofmann:(November 2013)::Giuseppe Moccia:X; X is August 2006,August 2006,False,False
265,Giuseppe Moccia:(August 2006)::Paul Picerni:X; X is May 2015,January 2011,False,True
266,Paul Picerni:(January 2011)::Scott Miller:X; X is April 2013,April 2013,False,False
267,Scott Miller:(April 2013)::Hugh O'Brian:X; X is September 2016,September 2016,True,True
268,Hugh O'Brian:(September 2016)::Patrick Roy:X; X is May 2011,May 2011,False,False
269,Patrick Roy:(May 2011)::Titus Munteanu:X; X is December 2013,December 2013,False,False
270,Titus Munteanu:(December 2013)::Angelo Dundee:X; X is May 2011,February 2012,False,True
271,Angelo Dundee:(February 2012)::Cahit Aral:X; X is November 2011,November 2011,True,True
272,Cahit Aral:(November 2011)::Gary Brandner:X; X is February 2014,September 2013,False,True
273,Gary Brandner:(September 2013)::JosÃ© de JesÃºs Castillo RenterÃ_a:X; X is April 2013,April 2013,False,False
274,JosÃ© de JesÃºs Castillo RenterÃ_a:(April 2013)::DamiÃ£o AntÃ_nio Franklin:X; X is June 2012,April 2014,False,True
275,DamiÃ£o AntÃ_nio Franklin:(April 2014)::Patrick Ekeng:X; X is June 2014,May 2016,False,True
276,Patrick Ekeng:(May 2016)::Colin Tarrant:X; X is January 2012,January 2012,True,True
277,Colin Tarrant:(January 2012)::Alberto Bustamante Belaunde:X; X is February 2008,February 2008,False,False
278,Alberto Bustamante Belaunde:(February 2008)::Julieta MarÃ_n Torres:X; X is May 2009,March 2015,False,True
279,Julieta MarÃ_n Torres:(March 2015)::Nic Gotham:X; X is July 2013,July 2013,False,False
280,Nic Gotham:(July 2013)::Richard P. Lindsay:X; X is June 2010,June 2010,False,False
281,Richard P. Lindsay:(June 2010)::Emil Schulz:X; X is March 2010,March 2010,False,False
282,Emil Schulz:(March 2010)::Ted Kennedy:X; X is March 2013,August 2009,False,True
283,Ted Kennedy:(August 2009)::Paul W. Airey:X; X is March 2009,March 2009,True,True
284,Paul W. Airey:(March 2009)::Martin Lewis Perl:X; X is July 2010,September 2014,False,True
285,Martin Lewis Perl:(September 2014)::Jacques Sernas:X; X is February 2010,July 2015,False,True
286,Jacques Sernas:(July 2015)::Antonio Brack Egg:X; X is July 2010,December 2014,False,True
287,Antonio Brack Egg:(December 2014)::Graham Mackay:X; X is June 2014,December 2013,False,True
288,Graham Mackay:(December 2013)::Shigeru Mizuki:X; X is January 2013,November 2015,False,True
289,Shigeru Mizuki:(November 2015)::Gilbert Taylor:X; X is October 2011,August 2013,False,True
290,Gilbert Taylor:(August 2013)::SaÅ¡a MarkoviÄ‡ Mikrob:X; X is November 2015,July 2010,False,True
291,SaÅ¡a MarkoviÄ‡ Mikrob:(July 2010)::Lucian BÄƒlan:X; X is November 2015,November 2015,False,False
292,Lucian BÄƒlan:(November 2015)::Larry Brezner:X; X is October 2015,October 2015,False,False
293,Larry Brezner:(October 2015)::Yoshimitsu Morita:X; X is December 2011,December 2011,True,True
294,Yoshimitsu Morita:(December 2011)::Ali Hassan al-Jaber:X; X is March 2011,March 2011,True,True
295,Ali Hassan al-Jaber:(March 2011)::Don Barry:X; X is May 2014,May 2014,False,False
296,Don Barry:(May 2014)::Lucien Paiement:X; X is March 2011,January 2013,False,True
297,Lucien Paiement:(January 2013)::Abel Goumba:X; X is November 2011,May 2009,False,True
