,Prompt,Correct Object,GPT-reply,Status
65,Don Johnson:(1949-12-15)::Savion Glover:X; X is 1945-12-05,1973-11-19,False,True
66,Savion Glover:(1973-11-19)::John Major:X; X is 1943-03-29,1943-03-29,True,True
67,John Major:(1943-03-29)::Sari Nusseibeh:X; X is 1949-01-01,1949-01-01,False,False
68,Sari Nusseibeh:(1949-01-01)::Bob Fosse:X; X is 1927-06-23,1927-06-23,True,True
69,Bob Fosse:(1927-06-23)::Vicente Fox Quesada:X; X is 1948-01-01,1942-07-02,False,True
70,Vicente Fox Quesada:(1942-07-02)::Mike Huckabee:X; X is 1941-02-20,1955-08-24,False,True
71,Mike Huckabee:(1955-08-24)::Samuel L Jackson:X; X is 1949-07-14,1948-12-21,True,False
72,Samuel L Jackson:(1948-12-21)::Paul Kagame:X; X is 1975-10-14,1957-10-23,False,True
73,Paul Kagame:(1957-10-23)::Pierre Franey:X; X is 1958-07-08,1921-01-13,False,True
74,Pierre Franey:(1921-01-13)::E L Doctorow:X; X is 1944-08-20,1931-01-06,False,True
75,E L Doctorow:(1931-01-06)::Alice Munro:X; X is 1933-06-09,1931-07-10,True,False
76,Alice Munro:(1931-07-10)::Rubin Carter:X; X is 1937-05-06,1937-05-06,True,True
77,Rubin Carter:(1937-05-06)::Donald E Siegelman:X; X is 1946-02-24,1946-02-24,True,True
78,Donald E Siegelman:(1946-02-24)::Halle Berry:X; X is 1966-08-14,1966-08-14,True,True
79,Halle Berry:(1966-08-14)::Charles Edward Ives:X; X is 1939-03-31,1874-10-20,False,True
80,Charles Edward Ives:(1874-10-20)::Bill Janklow:X; X is 1939-09-13,1939-09-13,True,True
81,Bill Janklow:(1939-09-13)::Patti LuPone:X; X is 1938-08-04,1949-04-21,False,True
82,Patti LuPone:(1949-04-21)::Olympia Dukakis:X; X is 1931-06-20,1931-06-20,True,True
83,Olympia Dukakis:(1931-06-20)::Phil Jackson:X; X is 1966-03-05,1945-09-17,False,True
84,Phil Jackson:(1945-09-17)::Bruce Ackerman:X; X is 1943-08-19,1943-08-19,True,True
85,Bruce Ackerman:(1943-08-19)::Fuzzy Zoeller:X; X is 1951-11-11,1951-11-11,True,True
86,Fuzzy Zoeller:(1951-11-11)::Greg Osby:X; X is 1960-08-03,1960-08-03,True,True
87,Greg Osby:(1960-08-03)::Geoffrey Beene:X; X is 1974-02-18,1924-08-30,False,True
88,Geoffrey Beene:(1924-08-30)::Blythe Danner:X; X is 1973-03-09,1943-02-03,False,True
89,Blythe Danner:(1943-02-03)::Nicholas D Kristof:X; X is 1933-09-10,1959-04-27,False,True
90,Nicholas D Kristof:(1959-04-27)::Joseph Mallord William Turner:X; X is 1959-08-17,1775-04-23,False,True
91,Joseph Mallord William Turner:(1775-04-23)::Colm Toibin:X; X is 1955-05-30,1955-05-30,True,True
92,Colm Toibin:(1955-05-30)::Jacques Pepin:X; X is 1926-05-16,1935-12-18,False,True
93,Jacques Pepin:(1935-12-18)::Roslynn R Mauskopf:X; X is 1957-02-07,1957-02-07,False,False
94,Roslynn R Mauskopf:(1957-02-07)::Owen Wilson:X; X is 1968-11-18,1968-11-18,True,True
95,Owen Wilson:(1968-11-18)::Zigmund Palffy:X; X is 1983-05-11,1972-05-05,False,True
96,Zigmund Palffy:(1972-05-05)::Robert Spano:X; X is 1961-05-07,1961-05-07,False,False
97,Robert Spano:(1961-05-07)::T J Rodgers:X; X is 1948-03-15,1948-03-15,False,False
98,T J Rodgers:(1948-03-15)::Vladimir Lenin:X; X is 1947-05-05,1870-04-22,False,True
99,Vladimir Lenin:(1870-04-22)::Greta Garbo:X; X is 1927-05-22,1905-09-18,False,True
100,Greta Garbo:(1905-09-18)::Betsy McCaughey Ross:X; X is 1948-10-20,1948-10-20,True,True
101,Betsy McCaughey Ross:(1948-10-20)::Anne Heche:X; X is 1934-06-19,1969-05-25,False,True
102,Anne Heche:(1969-05-25)::Billy Crystal:X; X is 1948-03-14,1948-03-14,True,True
103,Billy Crystal:(1948-03-14)::Stevie Wonder:X; X is 1975-06-04,1950-05-13,False,True
104,Stevie Wonder:(1950-05-13)::Arthur Ochs Sulzberger:X; X is 1973-04-18,1926-02-05,False,True
105,Arthur Ochs Sulzberger:(1926-02-05)::Robert B Parker:X; X is 1986-12-07,1932-09-17,False,True
106,Robert B Parker:(1932-09-17)::Donna Hanover:X; X is 1950-02-13,1950-02-13,True,True
107,Donna Hanover:(1950-02-13)::Jon Gruden:X; X is 1963-08-17,1963-08-17,True,True
108,Jon Gruden:(1963-08-17)::Thomas Quasthoff:X; X is 1959-11-09,1959-11-09,True,True
109,Thomas Quasthoff:(1959-11-09)::Bob Weinstein:X; X is 1954-10-18,1954-10-18,True,True
110,Bob Weinstein:(1954-10-18)::Judy Blume:X; X is 1946-06-16,1938-02-12,True,False
111,Judy Blume:(1938-02-12)::Yefim Bronfman:X; X is 1958-04-10,1958-04-10,True,True
112,Yefim Bronfman:(1958-04-10)::David Grossman:X; X is 1954-01-25,1954-01-25,True,True
113,David Grossman:(1954-01-25)::Eduardo Duhalde:X; X is 1920-10-31,1941-10-05,False,True
114,Eduardo Duhalde:(1941-10-05)::Guy V Molinari:X; X is 1928-11-23,1928-11-23,True,True
115,Guy V Molinari:(1928-11-23)::Lawrence Lessig:X; X is 1961-06-03,1961-06-03,True,True
116,Lawrence Lessig:(1961-06-03)::Roger M Mahony:X; X is 1936-02-27,1936-02-27,False,False
117,Roger M Mahony:(1936-02-27)::Steve Buscemi:X; X is 1953-06-22,1957-12-13,False,True
118,Steve Buscemi:(1957-12-13)::Roy E Barnes:X; X is 1948-03-11,1948-03-11,False,False
119,Roy E Barnes:(1948-03-11)::Cornel West:X; X is 1953-06-02,1953-06-02,True,True
120,Cornel West:(1953-06-02)::Arianna Huffington:X; X is 1950-07-15,1950-07-15,True,True
121,Arianna Huffington:(1950-07-15)::Ferdinand E Marcos:X; X is 1917-09-11,1917-09-11,True,True
122,Ferdinand E Marcos:(1917-09-11)::Jim Leyritz:X; X is 1943-09-23,1963-12-27,False,True
123,Jim Leyritz:(1963-12-27)::John Calipari:X; X is 1909-01-01,1959-02-10,False,True
124,John Calipari:(1959-02-10)::George Bush:X; X is 1954-12-15,1924-06-12,False,True
125,George Bush:(1924-06-12)::Wim Duisenberg:X; X is 1935-07-09,1935-07-09,True,True
126,Wim Duisenberg:(1935-07-09)::Mia Farrow:X; X is 1942-05-10,1945-02-09,True,False
127,Mia Farrow:(1945-02-09)::Gyorgy Ligeti:X; X is 1923-05-28,1923-05-28,True,True
128,Gyorgy Ligeti:(1923-05-28)::Barry M Goldwater:X; X is 1909-01-01,1909-01-01,False,False
129,Barry M Goldwater:(1909-01-01)::Cynthia Nixon:X; X is 1966-04-09,1966-04-09,True,True
130,Cynthia Nixon:(1966-04-09)::Francis L Lawrence:X; X is 1937-08-25,1937-08-25,False,False
131,Francis L Lawrence:(1937-08-25)::Dario Fo:X; X is 1926-03-24,1926-03-24,True,True
132,Dario Fo:(1926-03-24)::Major R Owens:X; X is 1947-04-18,1936-06-28,False,True
133,Major R Owens:(1936-06-28)::David Beckham:X; X is 1959-04-03,1975-05-02,False,True
134,David Beckham:(1975-05-02)::Astor Piazzolla:X; X is 1933-10-06,1921-03-11,False,True
135,Astor Piazzolla:(1921-03-11)::Amiri Baraka:X; X is 1942-02-12,1934-10-07,False,True
136,Amiri Baraka:(1934-10-07)::Linda Fairstein:X; X is 1947-05-05,1947-05-05,True,True
137,Linda Fairstein:(1947-05-05)::Robert Dallek:X; X is 1934-05-16,1934-05-16,True,True
138,Robert Dallek:(1934-05-16)::Jeff Zucker:X; X is 1965-04-09,1965-04-09,False,False
139,Jeff Zucker:(1965-04-09)::Sidney Lumet:X; X is 1924-06-25,1924-06-25,True,True
140,Sidney Lumet:(1924-06-25)::Vince Carter:X; X is 1977-01-26,1977-01-26,True,True
141,Vince Carter:(1977-01-26)::Frank Stronach:X; X is 1945-04-12,1932-09-06,False,True
142,Frank Stronach:(1932-09-06)::Fidel V Ramos:X; X is 1928-03-18,1928-03-18,True,True
143,Fidel V Ramos:(1928-03-18)::Alan Bennett:X; X is 1961-03-29,1934-05-09,False,True
144,Alan Bennett:(1934-05-09)::Alan Arkin:X; X is 1938-06-19,1934-03-26,False,True
145,Alan Arkin:(1934-03-26)::Lukas Foss:X; X is 1922-08-15,1922-08-15,True,True
146,Lukas Foss:(1922-08-15)::Oskar Lafontaine:X; X is 1943-09-16,1943-09-16,True,True
147,Oskar Lafontaine:(1943-09-16)::James B Comey:X; X is 1960-12-14,1960-12-14,True,True
148,James B Comey:(1960-12-14)::Roy Romer:X; X is 1770-12-16,1928-10-31,False,True
149,Roy Romer:(1928-10-31)::Marty McSorley:X; X is 1954-12-05,1963-05-18,False,True
150,Marty McSorley:(1963-05-18)::Andy Goldsworthy:X; X is 1956-07-26,1956-07-26,True,True
151,Andy Goldsworthy:(1956-07-26)::Isamu Noguchi:X; X is 1953-05-09,1904-11-17,False,True
152,Isamu Noguchi:(1904-11-17)::Susan Sontag:X; X is 1933-01-16,1933-01-16,True,True
153,Susan Sontag:(1933-01-16)::Barry Diller:X; X is 1933-03-14,1942-02-02,False,True
154,Barry Diller:(1942-02-02)::Anthony Lewis:X; X is 1927-03-27,1927-03-27,True,True
155,Anthony Lewis:(1927-03-27)::Oliver Sacks:X; X is 1933-07-09,1933-07-09,True,True
156,Oliver Sacks:(1933-07-09)::Alfred Stieglitz:X; X is 1856-01-12,1864-01-01,True,False
157,Alfred Stieglitz:(1864-01-01)::Gerard E Lynch:X; X is 1943-11-10,1951-09-04,True,False
158,Gerard E Lynch:(1951-09-04)::Garrick Ohlsson:X; X is 1948-04-03,1948-04-03,True,True
159,Garrick Ohlsson:(1948-04-03)::George R Tiller:X; X is 1941-08-08,1941-08-08,True,True
160,George R Tiller:(1941-08-08)::Jean Chretien:X; X is 1934-01-11,1934-01-11,True,True
161,Jean Chretien:(1934-01-11)::Antonin Scalia:X; X is 1946-10-27,1936-03-11,False,True
162,Antonin Scalia:(1936-03-11)::Igor Stravinsky:X; X is 1882-06-17,1882-06-17,True,True
163,Igor Stravinsky:(1882-06-17)::Bonnie Raitt:X; X is 1949-11-08,1949-11-08,True,True
164,Bonnie Raitt:(1949-11-08)::Deborah J Glick:X; X is 1950-12-24,1950-12-24,False,False
165,Deborah J Glick:(1950-12-24)::Michael Irvin:X; X is 1966-03-05,1966-03-05,True,True
166,Michael Irvin:(1966-03-05)::Bob Watson:X; X is 1970-10-31,1946-04-10,False,True
167,Bob Watson:(1946-04-10)::Yevgeny Kafelnikov:X; X is 1914-02-05,1974-02-18,False,True
168,Yevgeny Kafelnikov:(1974-02-18)::Mike Cameron:X; X is 1979-11-18,1973-01-08,True,False
169,Mike Cameron:(1973-01-08)::Mike Barnicle:X; X is 1943-10-13,1943-10-13,False,False
170,Mike Barnicle:(1943-10-13)::Paul E Patton:X; X is 1937-05-26,1937-05-26,False,False
171,Paul E Patton:(1937-05-26)::Thomas M Menino:X; X is 1932-06-17,1942-12-27,False,True
172,Thomas M Menino:(1942-12-27)::Emanuel Ax:X; X is 1949-06-08,1949-06-08,True,True
173,Emanuel Ax:(1949-06-08)::Francois Botha:X; X is 1949-05-11,1968-09-28,False,True
174,Francois Botha:(1968-09-28)::Foday Sankoh:X; X is 1903-05-02,1937-10-17,False,True
175,Foday Sankoh:(1937-10-17)::Jim Calhoun:X; X is 1942-05-10,1942-05-10,False,False
176,Jim Calhoun:(1942-05-10)::James Woods:X; X is 1935-07-09,1947-04-18,True,False
177,James Woods:(1947-04-18)::Raymond W Kelly:X; X is 1941-09-04,1941-09-04,True,True
178,Raymond W Kelly:(1941-09-04)::Colin Firth:X; X is 1956-10-18,1960-09-10,False,True
179,Colin Firth:(1960-09-10)::Rupert Murdoch:X; X is 1931-03-11,1931-03-11,True,True
180,Rupert Murdoch:(1931-03-11)::Ian Wilmut:X; X is 1944-07-07,1944-07-07,True,True
181,Ian Wilmut:(1944-07-07)::Humphrey Bogart:X; X is 1899-12-25,1899-12-25,True,True
182,Humphrey Bogart:(1899-12-25)::Gloria Macapagal Arroyo:X; X is 1965-08-28,1947-04-05,False,True
183,Gloria Macapagal Arroyo:(1947-04-05)::George Soros:X; X is 1930-08-12,1930-08-12,True,True
184,George Soros:(1930-08-12)::Adam Hochschild:X; X is 1954-08-17,1942-01-01,False,True
185,Adam Hochschild:(1942-01-01)::Henry J Stern:X; X is 1935-05-01,1935-05-01,True,True
186,Henry J Stern:(1935-05-01)::Sam Waterston:X; X is 1931-03-02,1940-11-15,False,True
187,Sam Waterston:(1940-11-15)::Dan Rooney:X; X is 1932-07-20,1932-07-20,False,False
188,Dan Rooney:(1932-07-20)::Cameron Mackintosh:X; X is 1947-11-08,1946-10-17,True,False
189,Cameron Mackintosh:(1946-10-17)::Ian McEwan:X; X is 1948-06-21,1948-06-21,True,True
190,Ian McEwan:(1948-06-21)::Danny Almonte:X; X is 1987-04-07,1987-04-07,False,False
191,Danny Almonte:(1987-04-07)::David Hyde Pierce:X; X is 1959-04-03,1959-04-03,True,True
192,David Hyde Pierce:(1959-04-03)::Jean-Yves Thibaudet:X; X is 1955-06-15,1961-09-07,False,True
193,Jean-Yves Thibaudet:(1961-09-07)::Thomas H Kean:X; X is 1935-04-21,1935-04-21,False,False
194,Thomas H Kean:(1935-04-21)::Wen Ho Lee:X; X is 1939-12-21,1939-12-21,False,False
195,Wen Ho Lee:(1939-12-21)::John P Abizaid:X; X is 1951-04-04,1951-04-04,True,True
196,John P Abizaid:(1951-04-04)::Jimi Hendrix:X; X is 1942-11-27,1942-11-27,True,True
197,Jimi Hendrix:(1942-11-27)::Jimmy Smits:X; X is 1954-12-26,1955-07-09,True,False
198,Jimmy Smits:(1955-07-09)::Langston Hughes:X; X is 1902-02-01,1902-02-01,True,True
199,Langston Hughes:(1902-02-01)::John Allen Muhammad:X; X is 1960-12-31,1960-12-31,False,False
200,John Allen Muhammad:(1960-12-31)::Shannon Briggs:X; X is 1923-01-01,1971-12-04,False,True
201,Shannon Briggs:(1971-12-04)::Salvador Dali:X; X is 1904-05-11,1904-05-11,True,True
202,Salvador Dali:(1904-05-11)::Lou Savarese:X; X is 1965-07-14,1965-07-14,True,True
203,Lou Savarese:(1965-07-14)::Janet Jackson:X; X is 1946-07-22,1966-05-16,False,True
204,Janet Jackson:(1966-05-16)::Harold W Jr Gehman:X; X is 1945-08-14,1942-10-15,False,True
205,Harold W Jr Gehman:(1942-10-15)::Anne-Sophie Mutter:X; X is 1938-02-17,1963-06-29,False,True
206,Anne-Sophie Mutter:(1963-06-29)::Spencer Abraham:X; X is 1952-06-12,1952-06-12,False,False
207,Spencer Abraham:(1952-06-12)::Robert Jay Lifton:X; X is 1957-02-11,1926-05-16,False,True
208,Robert Jay Lifton:(1926-05-16)::Roy E Disney:X; X is 1950-12-23,1930-01-10,False,True
209,Roy E Disney:(1930-01-10)::Lawrence Phillips:X; X is 1975-05-12,1975-05-12,True,True
210,Lawrence Phillips:(1975-05-12)::Mary Cassatt:X; X is 1937-03-26,1844-05-22,False,True
211,Mary Cassatt:(1844-05-22)::Jessica Lynch:X; X is 1983-04-26,1983-04-26,True,True
212,Jessica Lynch:(1983-04-26)::Milos Forman:X; X is 1932-02-18,1932-02-18,False,False
213,Milos Forman:(1932-02-18)::Jessica Tandy:X; X is 1909-06-07,1909-06-07,True,True
214,Jessica Tandy:(1909-06-07)::Lionel Jospin:X; X is 1934-05-19,1937-07-12,True,False
215,Lionel Jospin:(1937-07-12)::Duncan Hunter:X; X is 1937-08-05,1948-05-31,False,True
216,Duncan Hunter:(1948-05-31)::Gary Barnett:X; X is 1946-05-23,1946-05-23,True,True
217,Gary Barnett:(1946-05-23)::Stephon Marbury:X; X is 1977-02-20,1977-02-20,True,True
218,Stephon Marbury:(1977-02-20)::Yasser Esam Hamdi:X; X is 1931-03-11,1980-09-26,False,True
219,Yasser Esam Hamdi:(1980-09-26)::Jim Leyland:X; X is 1944-12-15,1944-12-15,False,False
220,Jim Leyland:(1944-12-15)::Geno Auriemma:X; X is 1954-03-23,1954-03-23,True,True
221,Geno Auriemma:(1954-03-23)::Shirley MacLaine:X; X is 1947-12-29,1934-04-24,False,True
222,Shirley MacLaine:(1934-04-24)::Anthony Minghella:X; X is 1954-01-06,1954-01-06,True,True
223,Anthony Minghella:(1954-01-06)::Dale Bumpers:X; X is 1944-07-31,1925-08-12,False,True
224,Dale Bumpers:(1925-08-12)::Yo-Yo Ma:X; X is 1943-09-12,1955-10-07,True,False
225,Yo-Yo Ma:(1955-10-07)::Ralph Ellison:X; X is 1913-03-01,1913-03-01,True,True
226,Ralph Ellison:(1913-03-01)::Mahmoud Abbas:X; X is 1962-12-25,1935-03-26,False,True
227,Mahmoud Abbas:(1935-03-26)::Paul S Sarbanes:X; X is 1913-03-01,1933-02-03,False,True
228,Paul S Sarbanes:(1933-02-03)::Golan Cipel:X; X is 1952-10-27,1968-01-01,False,True
229,Golan Cipel:(1968-01-01)::Colin Davis:X; X is 1927-09-25,1927-09-25,True,True
230,Colin Davis:(1927-09-25)::Henry James:X; X is 1946-07-06,1843-04-05,False,True
231,Henry James:(1843-04-05)::Saad Eddin Ibrahim:X; X is 1938-12-03,1938-12-03,True,True
232,Saad Eddin Ibrahim:(1938-12-03)::Diane Arbus:X; X is 1968-09-28,1923-03-14,False,True
233,Diane Arbus:(1923-03-14)::John R Kasich:X; X is 1931-06-02,1952-05-13,False,True
234,John R Kasich:(1952-05-13)::Ilan Ramon:X; X is 1954-06-20,1954-06-20,False,False
235,Ilan Ramon:(1954-06-20)::Dick Clark:X; X is 1959-01-01,1929-11-30,False,True
236,Dick Clark:(1929-11-30)::Anthony Depalma:X; X is 1949-07-01,1904-10-12,False,True
237,Anthony Depalma:(1904-10-12)::Pat Riley:X; X is 1926-06-01,1945-03-20,False,True
238,Pat Riley:(1945-03-20)::Moises Alou:X; X is 1933-09-08,1966-07-03,False,True
239,Moises Alou:(1966-07-03)::Jim Thome:X; X is 1961-04-22,1970-08-27,False,True
240,Jim Thome:(1970-08-27)::Ira C Magaziner:X; X is 1954-07-18,1947-11-08,False,True
241,Ira C Magaziner:(1947-11-08)::Jaromir Jagr:X; X is 1972-02-15,1972-02-15,True,True
242,Jaromir Jagr:(1972-02-15)::Mos Def:X; X is 1933-08-20,1973-12-11,False,True
243,Mos Def:(1973-12-11)::Shaul Mofaz:X; X is 1949-01-01,1948-11-04,False,True
244,Shaul Mofaz:(1948-11-04)::Dmitri A Medvedev:X; X is 1965-09-14,1965-09-14,True,True
245,Dmitri A Medvedev:(1965-09-14)::Bill Romanowski:X; X is 1966-04-02,1966-04-02,True,True
246,Bill Romanowski:(1966-04-02)::Jimmy Buffett:X; X is 1946-12-25,1946-12-25,True,True
247,Jimmy Buffett:(1946-12-25)::Lisa Marie Nowak:X; X is 1963-05-10,1963-05-10,True,True
248,Lisa Marie Nowak:(1963-05-10)::John G Rowland:X; X is 1953-10-12,1957-05-24,True,False
249,John G Rowland:(1957-05-24)::Wallace Shawn:X; X is 1943-11-12,1943-11-12,True,True
250,Wallace Shawn:(1943-11-12)::Willie Nelson:X; X is 1948-02-06,1933-04-29,False,True
251,Willie Nelson:(1933-04-29)::Michael J Fox:X; X is 1961-06-09,1961-06-09,True,True
252,Michael J Fox:(1961-06-09)::Ann Beattie:X; X is 1964-12-10,1947-09-08,False,True
253,Ann Beattie:(1947-09-08)::Barry Levinson:X; X is 1942-04-06,1942-04-06,True,True
254,Barry Levinson:(1942-04-06)::Roger Federer:X; X is 1981-08-08,1981-08-08,True,True
255,Roger Federer:(1981-08-08)::William Faulkner:X; X is 1897-09-25,1897-09-25,True,True
256,William Faulkner:(1897-09-25)::Vaslav Nijinsky:X; X is 1950-12-03,1889-03-12,False,True
257,Vaslav Nijinsky:(1889-03-12)::Peter Chernin:X; X is 1951-05-29,1951-05-29,True,True
258,Peter Chernin:(1951-05-29)::Floyd Landis:X; X is 1975-10-14,1975-10-14,True,True
259,Floyd Landis:(1975-10-14)::Bill Dedman:X; X is 1960-01-01,1960-01-01,False,False
260,Bill Dedman:(1960-01-01)::Jim Bouton:X; X is 1939-03-08,1939-03-08,True,True
261,Jim Bouton:(1939-03-08)::Ruth Westheimer:X; X is 0003-01-01,1928-06-04,False,True
262,Ruth Westheimer:(1928-06-04)::Robert H Bork:X; X is 1927-03-01,1927-03-01,True,True
263,Robert H Bork:(1927-03-01)::Adolf Hitler:X; X is 1889-04-20,1889-04-20,True,True
264,Adolf Hitler:(1889-04-20)::Nicholas W Leeson:X; X is 1967-02-25,1967-02-25,True,True
265,Nicholas W Leeson:(1967-02-25)::Walter Cronkite:X; X is 1916-11-04,1916-11-04,True,True
266,Walter Cronkite:(1916-11-04)::Herman Melville:X; X is 1945-06-19,1819-08-01,False,True
267,Herman Melville:(1819-08-01)::Bill Cosby:X; X is 1922-09-08,1937-07-12,False,True
